Bot_ID,Tipo,direccion,symbol,Precio_Entrada,Precio_Salida,PnL,Hora_Entrada,Hora_Cierre,Trade_Id
BNB_Grid_0.3,grid,long,bnbusdt,589.66,589.99119466,0.0033,2026-06-22 18:27:18,2026-06-22 18:56:27,BNB_Grid_0.3_119_1782167238
BNB_Grid_0.3,grid,long,bnbusdt,589.99,590.33743559,0.0035,2026-06-22 18:27:06,2026-06-22 19:02:45,BNB_Grid_0.3_118_1782167226
BNB_Grid_0.3,grid,long,bnbusdt,589.33,589.66707313,0.0034,2026-06-22 19:15:30,2026-06-22 19:18:39,BNB_Grid_0.3_136_1782170130
BNB_Grid_0.3,grid,long,bnbusdt,589.66,589.99,0.0033,2026-06-22 19:14:42,2026-06-22 19:20:36,BNB_Grid_0.3_135_1782170082
BNB_Grid_0.3,grid,long,bnbusdt,589.99,590.32061869,0.0033,2026-06-22 19:03:18,2026-06-22 19:22:54,BNB_Grid_0.3_134_1782169398
BNB_Grid_0.3,grid,long,bnbusdt,590.32,590.68284418,0.0036,2026-06-22 18:26:48,2026-06-22 19:23:21,BNB_Grid_0.3_117_1782167208
BNB_Grid_0.3,grid,long,bnbusdt,590.32,590.67190664,0.0035,2026-06-22 19:24:21,2026-06-22 19:26:48,BNB_Grid_0.3_137_1782170661
BNB_Grid_0.3,grid,long,bnbusdt,590.32,590.85171666,0.0053,2026-06-22 19:32:51,2026-06-22 19:36:36,BNB_Grid_0.3_138_1782171171
BNB_Grid_0.3,grid,long,bnbusdt,590.65,591.10494831,0.0045,2026-06-22 18:25:45,2026-06-22 19:36:42,BNB_Grid_0.3_116_1782167145
BNB_Grid_0.3,grid,long,bnbusdt,590.98,591.34543246,0.0037,2026-06-22 18:20:39,2026-06-22 19:36:48,BNB_Grid_0.3_114_1782166839
BNB_Grid_0.3,grid,long,bnbusdt,590.32,590.65,0.0033,2026-06-22 19:47:18,2026-06-22 19:53:42,BNB_Grid_0.3_141_1782172038
BNB_Grid_0.3,grid,long,bnbusdt,590.65,591.04,0.0039,2026-06-22 19:43:03,2026-06-22 19:55:00,BNB_Grid_0.3_140_1782171783
BNB_Grid_0.3,grid,long,bnbusdt,589.99,590.41829954,0.0043,2026-06-22 20:02:06,2026-06-22 20:02:42,BNB_Grid_0.3_144_1782172926
BNB_Grid_0.3,grid,long,bnbusdt,590.32,590.69062938,0.0037,2026-06-22 19:58:21,2026-06-22 20:03:12,BNB_Grid_0.3_142_1782172701
BNB_Grid_0.3,grid,long,bnbusdt,589.66,590.0195503,0.0036,2026-06-22 20:12:27,2026-06-22 20:13:03,BNB_Grid_0.3_147_1782173547
BNB_Grid_0.3,grid,long,bnbusdt,589.99,590.36096436,0.0037,2026-06-22 20:07:45,2026-06-22 20:15:27,BNB_Grid_0.3_146_1782173265
BNB_Grid_0.3,grid,long,bnbusdt,589.33,589.66404395,0.0033,2026-06-22 20:24:39,2026-06-22 20:25:24,BNB_Grid_0.3_150_1782174279
BNB_Grid_0.3,grid,long,bnbusdt,589.0,589.34141495,0.0034,2026-06-22 20:28:48,2026-06-22 20:29:42,BNB_Grid_0.3_152_1782174528
BNB_Grid_0.3,grid,long,bnbusdt,589.33,589.6727182,0.0034,2026-06-22 20:25:45,2026-06-22 20:30:15,BNB_Grid_0.3_151_1782174345
BNB_Grid_0.3,grid,long,bnbusdt,589.66,589.99754355,0.0034,2026-06-22 20:20:24,2026-06-22 20:30:48,BNB_Grid_0.3_149_1782174024
BNB_Grid_0.3,grid,long,bnbusdt,589.99,590.37501136,0.0039,2026-06-22 20:16:54,2026-06-22 20:31:27,BNB_Grid_0.3_148_1782173814
BNB_Grid_0.3,grid,long,bnbusdt,590.32,590.66998029,0.0035,2026-06-22 20:05:30,2026-06-22 20:32:36,BNB_Grid_0.3_145_1782173130
BNB_Grid_0.3,grid,long,bnbusdt,590.65,591.03268535,0.0038,2026-06-22 19:58:21,2026-06-22 20:32:42,BNB_Grid_0.3_143_1782172701
BNB_Grid_0.3,grid,long,bnbusdt,590.32,590.68154467,0.0036,2026-06-22 20:38:27,2026-06-22 20:39:45,BNB_Grid_0.3_154_1782175107
BNB_Grid_0.3,grid,long,bnbusdt,590.65,590.98583424,0.0034,2026-06-22 20:36:00,2026-06-22 20:41:45,BNB_Grid_0.3_153_1782174960
BNB_Grid_0.3,grid,long,bnbusdt,590.98,591.33068948,0.0035,2026-06-22 19:38:15,2026-06-22 20:43:48,BNB_Grid_0.3_139_1782171495
BNB_Grid_0.3,grid,long,bnbusdt,591.32,591.68056999,0.0036,2026-06-22 18:17:21,2026-06-22 20:45:00,BNB_Grid_0.3_113_1782166641
BNB_Grid_0.3,grid,long,bnbusdt,591.32,591.6553537,0.0034,2026-06-22 20:48:21,2026-06-22 20:48:54,BNB_Grid_0.3_155_1782175701
BNB_Grid_0.3,grid,long,bnbusdt,591.65,591.98733598,0.0034,2026-06-22 18:14:57,2026-06-22 21:01:06,BNB_Grid_0.3_112_1782166497
BNB_Grid_0.3,grid,long,bnbusdt,591.98,592.32535145,0.0035,2026-06-22 15:09:33,2026-06-22 21:01:33,BNB_Grid_0.3_100_1782155373
BNB_Grid_0.3,grid,long,bnbusdt,591.65,592.06,0.0041,2026-06-22 21:03:03,2026-06-22 21:08:12,BNB_Grid_0.3_157_1782176583
BNB_Grid_0.3,grid,long,bnbusdt,591.32,591.65353464,0.0033,2026-06-22 21:18:18,2026-06-22 21:21:30,BNB_Grid_0.3_159_1782177498
BNB_Grid_0.3,grid,long,bnbusdt,591.65,591.99,0.0034,2026-06-22 21:17:33,2026-06-22 21:22:15,BNB_Grid_0.3_158_1782177453
